invoice_number,customer_id,customer_name,industry,country,invoice_date,due_date,invoice_amount,amount_paid,outstanding_amount,payment_terms_days,avg_days_late,promise_reliability,last_contact_days,promise_status,promise_amount,promise_date,dispute_type,sales_owner,email
INV-10058,C052,Pulse Solutions,Staffing,UK,2026-08-28,2026-09-27,914.62,0.0,914.62,30,22,0.55,1,,0.0,,,Owner 4,finance52@example.com
INV-10059,C028,Nova Partners,IT Services,Australia,2026-07-22,2026-08-21,1158.73,0.0,1158.73,30,6,0.92,1,,0.0,,,Owner 4,finance28@example.com
INV-10060,C049,Vector Technologies,Staffing,USA,2026-08-27,2026-09-26,3366.06,0.0,3366.06,30,26,0.55,7,,0.0,,,Owner 1,finance49@example.com
INV-10061,C012,Nimbus Solutions,Logistics Tech,USA,2026-08-09,2026-09-08,404.5,0.0,404.5,30,25,0.55,6,,0.0,,,Owner 4,finance12@example.com
INV-10062,C056,Peak Labs,Consulting,Australia,2026-08-07,2026-09-06,2390.95,0.0,2390.95,30,0,0.92,9,,0.0,,,Owner 8,finance56@example.com
INV-10063,C060,Ridge Works,Staffing,UAE,2026-07-27,2026-09-25,1007.21,0.0,1007.21,60,4,0.92,2,,0.0,,,Owner 4,finance60@example.com
INV-10064,C081,Highland Digital,B2B SaaS,Canada,2026-07-22,2026-09-05,772.17,0.0,772.17,45,6,0.92,8,,0.0,,,Owner 1,finance81@example.com
INV-10065,C073,Strata Systems,Digital Agency,UAE,2026-07-31,2026-09-14,3379.36,1689.67,1689.68,45,25,0.55,0,,0.0,,,Owner 1,finance73@example.com
INV-10066,C014,Sterling Consulting,Staffing,Canada,2026-08-21,2026-09-20,3736.82,0.0,3736.82,30,8,0.75,7,,0.0,,,Owner 6,finance14@example.com
INV-10067,C001,Acme Digital,Digital Agency,UK,2026-07-29,2026-08-28,3767.48,0.0,3767.48,30,26,0.55,5,,0.0,,,Owner 1,finance1@example.com
INV-10068,C042,Anchor Solutions,Digital Agency,Canada,2026-08-23,2026-09-22,2403.62,0.0,2403.62,30,2,0.92,1,,0.0,,,Owner 2,finance42@example.com
INV-10069,C026,Bridgepoint Labs,IT Services,Canada,2026-07-22,2026-08-21,2154.19,0.0,2154.19,30,11,0.75,2,,0.0,,,Owner 2,finance26@example.com
INV-10070,C057,Clarity Services,Consulting,UAE,2026-06-28,2026-08-27,679.42,0.0,679.42,60,13,0.75,5,,0.0,,,Owner 1,finance57@example.com
INV-10071,C084,Briar Consulting,IT Services,Australia,2026-06-24,2026-08-23,1803.37,0.0,1803.37,60,23,0.55,6,,0.0,,,Owner 4,finance84@example.com
INV-10072,C073,Strata Systems,Digital Agency,UAE,2026-08-05,2026-09-19,941.98,0.0,941.98,45,25,0.55,4,,0.0,,,Owner 1,finance73@example.com
INV-10073,C063,Monarch Systems,Consulting,USA,2026-08-02,2026-09-01,2429.74,0.0,2429.74,30,9,0.75,1,,0.0,,,Owner 7,finance63@example.com
INV-10074,C042,Anchor Solutions,Digital Agency,Canada,2026-07-30,2026-08-29,10861.94,2715.49,8146.45,30,2,0.92,0,,0.0,,,Owner 2,finance42@example.com
INV-10075,C035,Coreline Group,Staffing,UK,2026-08-08,2026-09-07,2085.38,0.0,2085.38,30,11,0.75,3,,0.0,,,Owner 3,finance35@example.com
INV-10076,C080,Juniper Works,Staffing,USA,2026-08-01,2026-09-30,1979.9,0.0,1979.9,60,27,0.55,2,,0.0,,,Owner 8,finance80@example.com
INV-10077,C079,Prospect Technologies,B2B SaaS,Canada,2026-08-03,2026-09-02,3577.45,0.0,3577.45,30,5,0.92,2,,0.0,,,Owner 7,finance79@example.com
INV-10078,C059,Paragon Technologies,Logistics Tech,Australia,2026-06-24,2026-08-23,2665.3,0.0,2665.3,60,8,0.75,6,,0.0,,,Owner 3,finance59@example.com
INV-10079,C012,Nimbus Solutions,Logistics Tech,USA,2026-08-19,2026-09-18,833.12,0.0,833.12,30,25,0.55,2,,0.0,,,Owner 4,finance12@example.com
INV-10080,C008,Atlas Partners,B2B SaaS,Australia,2026-08-16,2026-09-15,3420.97,0.0,3420.97,30,10,0.75,0,,0.0,,,Owner 8,finance8@example.com
INV-10081,C001,Acme Digital,Digital Agency,UK,2026-07-28,2026-08-27,1837.24,0.0,1837.24,30,26,0.55,10,,0.0,,,Owner 1,finance1@example.com
INV-10082,C048,Radius Partners,Consulting,Canada,2026-08-13,2026-09-12,1867.7,0.0,1867.7,30,23,0.55,8,,0.0,,,Owner 8,finance48@example.com
INV-10083,C069,Crosspoint Technologies,Logistics Tech,Australia,2026-07-28,2026-09-26,1388.27,0.0,1388.27,60,25,0.55,1,,0.0,,,Owner 5,finance69@example.com
INV-10084,C074,Foundry Consulting,Consulting,UK,2026-08-11,2026-09-10,2274.0,0.0,2274.0,30,0,0.92,2,,0.0,,,Owner 2,finance74@example.com
INV-10085,C052,Pulse Solutions,Staffing,UK,2026-08-22,2026-09-21,2163.97,540.99,1622.98,30,22,0.55,4,,0.0,,,Owner 4,finance52@example.com
INV-10086,C040,Mosaic Works,Consulting,Canada,2026-08-12,2026-09-11,4848.36,0.0,4848.36,30,12,0.75,0,,0.0,,,Owner 8,finance40@example.com
INV-10087,C052,Pulse Solutions,Staffing,UK,2026-07-20,2026-08-19,1854.25,0.0,1854.25,30,22,0.55,7,,0.0,,,Owner 4,finance52@example.com
INV-10088,C054,Ember Consulting,Logistics Tech,Canada,2026-08-21,2026-09-05,3146.06,0.0,3146.06,15,2,0.92,7,,0.0,,,Owner 6,finance54@example.com
INV-10089,C048,Radius Partners,Consulting,Canada,2026-07-23,2026-08-22,3648.52,0.0,3648.52,30,23,0.55,5,,0.0,,,Owner 8,finance48@example.com
INV-10090,C043,Vista Systems,B2B SaaS,Canada,2026-07-08,2026-09-06,798.0,0.0,798.0,60,23,0.55,5,,0.0,,,Owner 3,finance43@example.com
INV-10091,C053,Crown Systems,Consulting,UAE,2026-08-21,2026-09-05,709.18,0.0,709.18,15,25,0.55,6,,0.0,,,Owner 5,finance53@example.com
INV-10092,C051,Meridian Digital,Staffing,UAE,2026-07-22,2026-08-21,7239.39,0.0,7239.39,30,27,0.55,6,,0.0,,,Owner 3,finance51@example.com
INV-10093,C072,Waypoint Solutions,Logistics Tech,UAE,2026-06-22,2026-08-21,12230.93,0.0,12230.93,60,13,0.75,7,,0.0,,,Owner 8,finance72@example.com
INV-10094,C010,Evergreen Works,Staffing,UAE,2026-07-16,2026-08-30,1403.14,0.0,1403.14,45,8,0.75,3,,0.0,,,Owner 2,finance10@example.com
INV-10095,C005,Summit Group,Logistics Tech,Canada,2026-08-24,2026-09-08,3098.08,0.0,3098.08,15,24,0.55,8,,0.0,,,Owner 5,finance5@example.com
INV-10096,C048,Radius Partners,Consulting,Canada,2026-08-27,2026-09-26,5872.64,0.0,5872.64,30,23,0.55,2,,0.0,,,Owner 8,finance48@example.com
INV-10097,C048,Radius Partners,Consulting,Canada,2026-07-30,2026-08-29,651.03,0.0,651.03,30,23,0.55,2,,0.0,,,Owner 8,finance48@example.com
INV-10098,C058,Momentum Partners,Staffing,UAE,2026-08-13,2026-08-28,1821.52,0.0,1821.52,15,0,0.92,7,,0.0,,,Owner 2,finance58@example.com
INV-10099,C014,Sterling Consulting,Staffing,Canada,2026-07-20,2026-08-19,1667.61,0.0,1667.61,30,8,0.75,5,,0.0,,,Owner 6,finance14@example.com
INV-10100,C026,Bridgepoint Labs,IT Services,Canada,2026-08-22,2026-09-21,1321.64,0.0,1321.64,30,11,0.75,7,,0.0,,,Owner 2,finance26@example.com
INV-10101,C006,Northwind Labs,Logistics Tech,UK,2026-08-29,2026-09-28,3285.35,0.0,3285.35,30,11,0.75,8,,0.0,,,Owner 6,finance6@example.com
INV-10102,C080,Juniper Works,Staffing,USA,2026-06-30,2026-08-29,857.08,0.0,857.08,60,27,0.55,5,,0.0,,,Owner 8,finance80@example.com
INV-10103,C043,Vista Systems,B2B SaaS,Canada,2026-07-25,2026-09-23,2183.37,0.0,2183.37,60,23,0.55,9,,0.0,,,Owner 3,finance43@example.com
INV-10104,C011,Pioneer Digital,B2B SaaS,UK,2026-08-07,2026-09-21,1223.2,0.0,1223.2,45,2,0.92,5,,0.0,,,Owner 3,finance11@example.com
INV-10105,C085,Sequoia Group,IT Services,UK,2026-08-05,2026-09-04,902.85,0.0,902.85,30,4,0.92,3,,0.0,,,Owner 5,finance85@example.com
INV-10106,C065,Drift Group,B2B SaaS,Australia,2026-07-22,2026-08-21,2722.29,2041.72,680.57,30,4,0.92,8,,0.0,,,Owner 1,finance65@example.com
INV-10107,C043,Vista Systems,B2B SaaS,Canada,2026-07-16,2026-09-14,2176.2,0.0,2176.2,60,23,0.55,10,,0.0,,,Owner 3,finance43@example.com
INV-10108,C053,Crown Systems,Consulting,UAE,2026-08-24,2026-09-08,1548.82,0.0,1548.82,15,25,0.55,10,,0.0,,,Owner 5,finance53@example.com
INV-10109,C018,Stonebridge Partners,Staffing,UK,2026-08-18,2026-09-02,390.86,0.0,390.86,15,5,0.92,4,,0.0,,,Owner 2,finance18@example.com
INV-10110,C086,Frontier Labs,Staffing,Canada,2026-07-13,2026-09-11,3376.42,0.0,3376.42,60,6,0.92,7,,0.0,,,Owner 6,finance86@example.com
INV-10111,C030,Harbor Works,Logistics Tech,UAE,2026-06-24,2026-08-23,1767.23,1325.42,441.81,60,13,0.75,6,,0.0,,,Owner 6,finance30@example.com
INV-10112,C082,Canyon Solutions,IT Services,Canada,2026-07-20,2026-08-19,2030.85,1015.43,1015.42,30,11,0.75,3,,0.0,,,Owner 2,finance82@example.com
INV-10113,C081,Highland Digital,B2B SaaS,Canada,2026-07-05,2026-08-19,1063.51,265.87,797.63,45,6,0.92,7,,0.0,,,Owner 1,finance81@example.com
INV-10114,C029,Oakridge Technologies,Digital Agency,UK,2026-08-16,2026-09-15,2427.48,0.0,2427.48,30,28,0.55,10,,0.0,,,Owner 5,finance29@example.com
INV-10115,C077,Tandem Services,Staffing,USA,2026-09-14,2026-09-29,3211.07,0.0,3211.07,15,25,0.55,10,,0.0,,,Owner 5,finance77@example.com
INV-10116,C050,Nexus Works,B2B SaaS,UK,2026-07-27,2026-08-26,2816.63,0.0,2816.63,30,10,0.75,1,,0.0,,,Owner 2,finance50@example.com
INV-10117,C026,Bridgepoint Labs,IT Services,Canada,2026-08-27,2026-09-26,7219.1,0.0,7219.1,30,11,0.75,2,,0.0,,,Owner 2,finance26@example.com
INV-10118,C048,Radius Partners,Consulting,Canada,2026-08-11,2026-09-10,1913.7,1435.28,478.42,30,23,0.55,5,,0.0,,,Owner 8,finance48@example.com
INV-10119,C005,Summit Group,Logistics Tech,Canada,2026-08-07,2026-08-22,1168.28,292.07,876.21,15,24,0.55,2,,0.0,,,Owner 5,finance5@example.com
INV-10120,C035,Coreline Group,Staffing,UK,2026-08-16,2026-09-15,2400.8,0.0,2400.8,30,11,0.75,6,,0.0,,,Owner 3,finance35@example.com
INV-10121,C064,Sage Consulting,Staffing,Canada,2026-08-04,2026-09-18,3058.05,0.0,3058.05,45,12,0.75,5,,0.0,,,Owner 8,finance64@example.com
INV-10122,C042,Anchor Solutions,Digital Agency,Canada,2026-07-29,2026-08-28,1759.97,0.0,1759.97,30,2,0.92,7,,0.0,,,Owner 2,finance42@example.com
INV-10123,C052,Pulse Solutions,Staffing,UK,2026-07-26,2026-08-25,1900.76,0.0,1900.76,30,22,0.55,10,,0.0,,,Owner 4,finance52@example.com
INV-10124,C051,Meridian Digital,Staffing,UAE,2026-08-19,2026-09-18,5157.47,0.0,5157.47,30,27,0.55,1,,0.0,,,Owner 3,finance51@example.com
INV-10125,C026,Bridgepoint Labs,IT Services,Canada,2026-08-05,2026-09-04,916.9,458.45,458.45,30,11,0.75,7,,0.0,,,Owner 2,finance26@example.com
INV-10126,C013,Orion Systems,IT Services,UK,2026-08-04,2026-09-03,1575.27,0.0,1575.27,30,28,0.55,0,,0.0,,,Owner 5,finance13@example.com
INV-10127,C003,Vertex Systems,Consulting,UAE,2026-07-26,2026-09-24,897.36,0.0,897.36,60,8,0.75,6,,0.0,,,Owner 3,finance3@example.com
INV-10128,C046,Delta Labs,Consulting,Canada,2026-07-08,2026-08-22,1948.17,0.0,1948.17,45,45,0.3,8,,0.0,,,Owner 6,finance46@example.com
INV-10129,C075,Arcadia Group,Staffing,UK,2026-07-08,2026-09-06,2631.37,0.0,2631.37,60,24,0.55,5,,0.0,,,Owner 3,finance75@example.com
INV-10130,C069,Crosspoint Technologies,Logistics Tech,Australia,2026-07-02,2026-08-31,1387.72,0.0,1387.72,60,25,0.55,4,,0.0,,,Owner 5,finance69@example.com
INV-10131,C025,Westlake Group,B2B SaaS,Canada,2026-08-26,2026-09-25,1766.33,0.0,1766.33,30,27,0.55,2,,0.0,,,Owner 1,finance25@example.com
INV-10132,C074,Foundry Consulting,Consulting,UK,2026-08-24,2026-09-23,3044.38,0.0,3044.38,30,0,0.92,4,,0.0,,,Owner 2,finance74@example.com
INV-10133,C035,Coreline Group,Staffing,UK,2026-08-02,2026-09-01,2607.81,0.0,2607.81,30,11,0.75,9,,0.0,,,Owner 3,finance35@example.com
INV-10134,C016,Lattice Labs,IT Services,UK,2026-08-10,2026-09-24,919.45,0.0,919.45,45,1,0.92,5,,0.0,,,Owner 8,finance16@example.com
INV-10135,C043,Vista Systems,B2B SaaS,Canada,2026-07-16,2026-09-14,1130.92,0.0,1130.92,60,23,0.55,6,,0.0,,,Owner 3,finance43@example.com
INV-10136,C007,Cedar Services,Logistics Tech,UAE,2026-08-07,2026-09-21,2164.16,0.0,2164.16,45,3,0.92,8,,0.0,,,Owner 7,finance7@example.com
INV-10137,C059,Paragon Technologies,Logistics Tech,Australia,2026-07-05,2026-09-03,2989.51,0.0,2989.51,60,8,0.75,10,,0.0,,,Owner 3,finance59@example.com
INV-10138,C075,Arcadia Group,Staffing,UK,2026-07-28,2026-09-26,719.58,359.79,359.79,60,24,0.55,1,,0.0,,,Owner 3,finance75@example.com
INV-10139,C050,Nexus Works,B2B SaaS,UK,2026-08-31,2026-09-30,5041.45,0.0,5041.45,30,10,0.75,6,,0.0,,,Owner 2,finance50@example.com
INV-10140,C032,Maple Solutions,Digital Agency,Canada,2026-08-03,2026-08-18,2800.33,0.0,2800.33,15,2,0.92,8,,0.0,,,Owner 8,finance32@example.com
INV-10141,C009,Beacon Technologies,B2B SaaS,USA,2026-08-07,2026-09-06,873.41,218.35,655.06,30,13,0.75,6,,0.0,,,Owner 1,finance9@example.com
INV-10142,C048,Radius Partners,Consulting,Canada,2026-07-22,2026-08-21,2366.45,0.0,2366.45,30,23,0.55,9,,0.0,,,Owner 8,finance48@example.com
INV-10143,C060,Ridge Works,Staffing,UAE,2026-07-31,2026-09-29,404.58,0.0,404.58,60,4,0.92,2,,0.0,,,Owner 4,finance60@example.com
INV-10144,C082,Canyon Solutions,IT Services,Canada,2026-07-28,2026-08-27,2529.32,0.0,2529.32,30,11,0.75,4,,0.0,,,Owner 2,finance82@example.com
INV-10145,C003,Vertex Systems,Consulting,UAE,2026-07-28,2026-09-26,2714.17,0.0,2714.17,60,8,0.75,3,,0.0,,,Owner 3,finance3@example.com
INV-10146,C049,Vector Technologies,Staffing,USA,2026-07-24,2026-08-23,310.38,0.0,310.38,30,26,0.55,6,,0.0,,,Owner 1,finance49@example.com
INV-10147,C036,Fusion Labs,Staffing,UK,2026-07-18,2026-09-01,2006.42,0.0,2006.42,45,6,0.92,3,,0.0,,,Owner 4,finance36@example.com
INV-10148,C053,Crown Systems,Consulting,UAE,2026-09-11,2026-09-26,2946.47,0.0,2946.47,15,25,0.55,4,,0.0,,,Owner 5,finance53@example.com
INV-10149,C056,Peak Labs,Consulting,Australia,2026-08-28,2026-09-27,842.34,0.0,842.34,30,0,0.92,3,,0.0,,,Owner 8,finance56@example.com
INV-10150,C082,Canyon Solutions,IT Services,Canada,2026-08-21,2026-09-20,1694.13,423.53,1270.6,30,11,0.75,7,,0.0,,,Owner 2,finance82@example.com
INV-10151,C036,Fusion Labs,Staffing,UK,2026-07-17,2026-08-31,407.21,0.0,407.21,45,6,0.92,6,,0.0,,,Owner 4,finance36@example.com
INV-10152,C073,Strata Systems,Digital Agency,UAE,2026-07-03,2026-08-17,2265.27,0.0,2265.27,45,25,0.55,5,,0.0,,,Owner 1,finance73@example.com
INV-10153,C061,TrueNorth Digital,Consulting,UAE,2026-07-21,2026-08-20,2064.13,0.0,2064.13,30,28,0.55,4,,0.0,,,Owner 5,finance61@example.com
INV-10154,C039,Helix Technologies,Logistics Tech,USA,2026-07-25,2026-09-08,1515.55,0.0,1515.55,45,2,0.92,6,,0.0,,,Owner 7,finance39@example.com
INV-10155,C065,Drift Group,B2B SaaS,Australia,2026-08-01,2026-08-31,1914.36,0.0,1914.36,30,4,0.92,5,,0.0,,,Owner 1,finance65@example.com
INV-10156,C078,Ventura Partners,Consulting,UAE,2026-07-22,2026-09-05,4280.0,0.0,4280.0,45,4,0.92,5,,0.0,,,Owner 6,finance78@example.com
INV-10157,C065,Drift Group,B2B SaaS,Australia,2026-08-13,2026-09-12,799.97,0.0,799.97,30,4,0.92,0,,0.0,,,Owner 1,finance65@example.com
INV-10158,C067,Kinetic Services,IT Services,USA,2026-07-12,2026-08-26,5040.69,1260.17,3780.52,45,51,0.3,4,,0.0,,,Owner 3,finance67@example.com
INV-10159,C069,Crosspoint Technologies,Logistics Tech,Australia,2026-07-20,2026-09-18,1938.08,0.0,1938.08,60,25,0.55,6,,0.0,,,Owner 5,finance69@example.com
INV-10160,C022,Crescent Solutions,Logistics Tech,USA,2026-09-04,2026-09-19,1317.25,0.0,1317.25,15,5,0.92,4,,0.0,,,Owner 6,finance22@example.com
INV-10161,C027,Granite Services,Consulting,USA,2026-08-12,2026-09-26,496.09,0.0,496.09,45,11,0.75,10,,0.0,,,Owner 3,finance27@example.com
